track_name,artist_name,danceability,energy,instrumentalness,liveness,genre_score,track_pop
Everything I Want,847,0.767,0.356,0.0,0.173,0.0,35
tbh,158,0.88,0.224,0.0,0.0907,0.0,33
Bad Boys,710,0.723,0.71,1.71e-06,0.0812,0.0,28
bleachers,1326,0.896,0.767,0.000467,0.0727,0.0,56
Lovin' You,381,0.331,0.277,0.0,0.103,0.0,30
Sweet Talk,136,0.629,0.661,0.0134,0.306,0.0,33
Beautiful Little Life,395,0.344,0.517,0.0,0.143,23.0,38
great,1318,0.651,0.696,2.31e-05,0.201,0.0,35
Like I Don't Know You,262,0.718,0.423,0.00172,0.0859,0.0,38
sorry,480,0.797,0.528,1.43e-05,0.0919,0.0,39
Arrête de danser,1142,0.633,0.512,0.000479,0.129,3.0,31
Old Me,956,0.813,0.446,2.92e-06,0.0918,17.0,29
One That Got Away,746,0.622,0.816,0.0,0.131,0.0,41
fire with fire,1324,0.321,0.345,1.02e-05,0.374,0.0,30
Kiss Me Right Now,1119,0.854,0.623,0.00026,0.0986,0.0,44
Crumble,437,0.678,0.846,0.00107,0.246,0.0,41
Stay,687,0.735,0.432,0.0,0.0908,4.0,32
Left Unsaid,1086,0.644,0.785,0.0,0.035,0.0,26
Hang Out,815,0.7,0.521,1.72e-05,0.154,2.0,33
Mistake,149,0.587,0.575,2.83e-06,0.0978,328.0,38
Fit In Here,627,0.761,0.591,0.0,0.0388,18.0,34
Another Hit Of You,735,0.534,0.721,0.0,0.277,0.0,42
out of the blue,282,0.538,0.652,0.0,0.106,0.0,46
Hold My Horses,748,0.482,0.701,0.0,0.0455,0.0,46
Olympus,185,0.568,0.594,4.83e-05,0.23,0.0,48
CALL,969,0.714,0.626,3e-06,0.0986,58.0,51
Singing About Something Else,421,0.598,0.305,8.84e-06,0.141,2.0,33
Black Boys On The Radio,163,0.449,0.797,0.0017,0.37,0.0,31
Feel About You,794,0.752,0.757,0.202,0.105,0.0,32
Fast Lane,522,0.511,0.936,0.824,0.307,0.0,35
DON'T FEEL SO GOOD,221,0.706,0.513,0.0942,0.0723,0.0,30
Ease Up,559,0.639,0.54,1.08e-06,0.098,63.0,58
serotonin,1317,0.621,0.636,0.0,0.142,0.0,31
Contra,871,0.621,0.79,0.832,0.0305,16.0,43
lights up,1322,0.515,0.664,0.772,0.382,0.0,37
hurt (feat. Somni),285,0.518,0.32,0.0266,0.186,0.0,47
Bunny,1118,0.538,0.326,0.011,0.157,0.0,28
Tentación,774,0.804,0.47,0.0,0.174,0.0,29
Loveseat,245,0.552,0.532,0.00043,0.151,0.0,27
going nowhere,170,0.501,0.934,4.66e-05,0.442,0.0,35
San Junipero (Personal Heaven),154,0.395,0.425,5.53e-06,0.108,9.0,38
Jawbreaker - Radio Edit,800,0.74,0.883,0.488,0.206,0.0,33
Mission,767,0.555,0.962,0.768,0.0538,7.0,39
Undone,1309,0.622,0.27,9.85e-05,0.0781,12.0,32
WHY! (Jack's Joint),1286,0.526,0.345,0.00021,0.414,0.0,32
Same Difference,423,0.646,0.755,0.0,0.202,18.0,35
Voicemail,187,0.682,0.531,0.224,0.0941,0.0,26
Let It Go,629,0.65,0.782,0.0249,0.249,0.0,26
Ad Bird,1308,0.791,0.859,0.856,0.0991,2.0,26
Take You High,444,0.62,0.88,0.347,0.0341,0.0,24
Take My Picture,78,0.644,0.533,1.05e-05,0.117,0.0,28
Holiday in My Head,1189,0.362,0.864,0.0,0.301,19.0,23
Uncover,384,0.51,0.766,0.000317,0.0704,0.0,30
Ruin Tennessee,456,0.638,0.637,0.0,0.261,0.0,31
Your Love,106,0.592,0.499,0.0,0.102,0.0,26
Reach Out,489,0.651,0.945,0.000205,0.0581,2.0,39
Navigator,869,0.688,0.812,0.879,0.101,4.0,28
Circuit Breaker,669,0.599,0.831,0.827,0.381,0.0,26
The Truth,226,0.458,0.907,8.15e-06,0.0876,2.0,25
comeonback,787,0.583,0.488,0.000149,0.212,2.0,39
i hate this city,1328,0.502,0.727,0.498,0.0555,0.0,40
Djembe Talk,373,0.804,0.921,0.921,0.555,0.0,23
Faded Love,599,0.792,0.843,0.51,0.0829,0.0,17
The Lonely One,1186,0.422,0.649,0.000271,0.328,0.0,22
I Won't Fall To Your Love,851,0.594,0.55,0.0,0.126,0.0,48
Age of Anxious,926,0.451,0.305,0.0936,0.112,2.0,23
Name Drop,981,0.531,0.806,6.5e-06,0.0371,5.0,31
Badget,478,0.729,0.397,5.6e-05,0.106,0.0,25
Movin',287,0.858,0.955,0.842,0.0691,0.0,33
Can You Bang,88,0.738,0.935,0.851,0.116,0.0,27
Whatever Happens,806,0.695,0.845,5.01e-06,0.312,16.0,24
Pretty Boys,451,0.434,0.829,8.54e-06,0.1,0.0,22
chilibanana,1106,0.64,0.931,0.642,0.175,0.0,29
Pink,1044,0.531,0.813,0.0333,0.0737,0.0,24
GULLIBLE,496,0.711,0.374,0.0153,0.111,0.0,19
ghost of you,1320,0.619,0.384,0.00445,0.0961,0.0,22
Megachurch,965,0.522,0.059,0.000372,0.231,0.0,20
Synchronise,126,0.759,0.638,0.538,0.107,0.0,26
If I Pray,428,0.455,0.577,0.0,0.0666,0.0,31
"piano, piano",1304,0.901,0.615,0.00084,0.0869,0.0,25
Fire Eyes,228,0.573,0.402,0.905,0.0744,6.0,27
What It Taste Like,834,0.662,0.239,0.0,0.0862,13.0,31
Wrong,534,0.529,0.708,0.0,0.101,3.0,34
Coop Running Through the Halls,529,0.501,0.427,0.0277,0.0933,0.0,21
"everything's gunna be alright, niina said so",1319,0.7,0.913,0.725,0.164,0.0,18
Brat,361,0.457,0.36,0.0,0.159,0.0,22
Cheerleader - Felix Jaehn Remix Radio Edit,872,0.782,0.685,1.18e-05,0.16,298.0,78
Eenie Meenie,1040,0.72,0.607,0.0,0.113,998.0,75
Vibe (feat. Popcaan),1078,0.776,0.882,3.33e-06,0.11,8.0,55
Impossible,1062,0.599,0.624,0.0,0.125,462.0,18
Replay,520,0.706,0.751,0.0,0.168,357.0,76
Twilight,283,0.425,0.746,0.00048,0.265,7.0,53
I Can See Clearly Now,577,0.81,0.618,0.000254,0.0296,95.0,61
Kung Fu Fighting,232,0.598,0.673,6.9e-05,0.289,6.0,66
T-Shirt,1062,0.679,0.657,0.0,0.295,462.0,66
Love Really Hurts Without You,178,0.518,0.907,1.15e-05,0.0838,139.0,70
Beautiful Girls,1040,0.762,0.661,0.0,0.256,998.0,79
Who Let The Dogs Out,148,0.869,0.887,0.0,0.148,2.0,66
Carnival,742,0.82,0.95,0.0,0.111,39.0,47
Follow The Leader,1183,0.766,0.92,0.000161,0.337,0.0,53
Three Little Birds,192,0.814,0.482,1.57e-06,0.0476,71.0,78
Swalla (feat. Nicki Minaj & Ty Dolla $ign),547,0.696,0.817,0.0,0.187,1013.0,76
Lean On (feat. MØ & DJ Snake),758,0.723,0.809,0.00123,0.565,1200.0,74
Angel,1048,0.74,0.766,0.0,0.0406,70.0,73
Hello,665,0.757,0.899,1.82e-05,0.303,42.0,55
You Can Get It If You Really Want,577,0.895,0.571,0.0,0.0781,95.0,65
She's Royal,1128,0.754,0.459,0.0,0.0742,127.0,56
Bruk It Down,824,0.919,0.781,0.0,0.221,38.0,49
One Love / People Get Ready - Medley,192,0.725,0.523,0.0,0.0665,71.0,73
Super Soca,742,0.843,0.831,0.0,0.149,39.0,43
16 Shots,1097,0.684,0.79,0.000371,0.0854,620.0,70
Give It All To Me,783,0.477,0.707,0.0,0.129,33.0,56
Temperature,1041,0.951,0.6,0.0,0.0712,912.0,79
It Wasn't Me,1048,0.853,0.606,0.0,0.313,70.0,78
Party Shot,927,0.553,0.719,0.0,0.147,35.0,43
Bruk Off Yuh Back,673,0.816,0.875,0.0,0.0346,29.0,61
Conga,448,0.791,0.86,0.105,0.0614,345.0,59
Can't Fight,706,0.737,0.522,0.00347,0.152,45.0,57
Famalay,1077,0.745,0.915,2.64e-06,0.0814,10.0,49
Gyal You A Party Animal,254,0.588,0.841,0.0,0.33,22.0,66
Letting Go (Dutty Love) featuring Nicki Minaj (feat. Nicki Minaj),1040,0.792,0.808,0.0,0.269,998.0,59
Now That We Found Love,486,0.744,0.697,0.0,0.171,216.0,62
Work,979,0.725,0.534,0.0,0.0919,882.0,76
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),758,0.803,0.743,2.12e-06,0.099,1200.0,56
Time Is of Essence,213,0.528,0.708,0.0,0.662,15.0,44
American Boy,392,0.727,0.729,0.0,0.07,59.0,79
Fast Wine,742,0.887,0.892,3.27e-05,0.0787,39.0,51
Only Man She Want,927,0.528,0.879,0.0,0.134,35.0,32
Pon De River Pon De Bank,369,0.692,0.677,0.0,0.111,44.0,52
Is This Love,192,0.776,0.559,0.0,0.0671,71.0,76
Frenzy,1023,0.644,0.686,0.0,0.134,73.0,0
"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix",292,0.714,0.818,0.0,0.122,62.0,33
Whine Up (feat. Elephant Man) - English Version,646,0.817,0.563,1.32e-06,0.154,416.0,64
Nobody Has to Know,675,0.792,0.682,0.0,0.169,19.0,59
Plain Jane REMIX (feat. Nicki Minaj),11,0.791,0.839,6.26e-05,0.259,153.0,73
Whatta Man,1014,0.757,0.544,6.07e-05,0.226,415.0,66
Dream Land,215,0.766,0.49,0.0085,0.046,126.0,6
I Am What I Am,459,0.707,0.465,0.0,0.108,3.0,35
The Three Bells (aka Jimmy Brown),660,0.664,0.494,0.00383,0.143,80.0,38
I Can See Clearly Now - Edit,594,0.654,0.612,4.08e-05,0.067,0.0,41
Mellow Mood,215,0.742,0.568,0.0715,0.0511,126.0,0
Put a Little Love In Your Heart,766,0.675,0.541,0.00144,0.165,190.0,43
"Wonderful World, Beautiful People",577,0.731,0.535,0.0,0.104,95.0,0
Black Pearl,500,0.534,0.572,5.69e-06,0.101,0.0,36
Elizabethan Reggae,196,0.703,0.525,0.117,0.12,31.0,40
Fighting Against Conviction,215,0.724,0.393,0.0362,0.0484,126.0,0
This Monday Morning Feeling,1204,0.848,0.608,9.99e-05,0.109,0.0,36
The Further You Look (The Less You See),585,0.54,0.7,0.0,0.153,190.0,38
Snoopy vs. The Red Baron,1159,0.902,0.716,0.164,0.144,0.0,40
Black and White,459,0.512,0.532,5.3e-06,0.103,3.0,37
Private Number,188,0.814,0.445,0.00136,0.099,0.0,39
Peace in Your Mind (Peace of Mind),189,0.607,0.475,0.000655,0.141,190.0,37
Montego Bay,418,0.773,0.505,0.000749,0.0854,0.0,44
Think About That,297,0.759,0.654,0.234,0.113,145.0,38
Mad About You,207,0.734,0.519,0.171,0.369,38.0,35
Let the Power Fall On I,784,0.897,0.504,0.00206,0.122,133.0,6
Rivers of Babylon,1172,0.703,0.661,3.38e-05,0.23,190.0,43
Help Me Make It Through the Night,585,0.608,0.551,0.00259,0.226,190.0,44
Sit Down and Cry Over You,391,0.705,0.567,0.213,0.101,190.0,36
Mighty Redeemer (Pt. 1),620,0.87,0.449,0.0,0.11,163.0,31
Love of the Common People,852,0.673,0.665,4.17e-06,0.355,80.0,40
Cry To Me,1085,0.808,0.728,0.0,0.131,15.0,0
Don't Break Your Promise,297,0.851,0.384,0.00257,0.0905,145.0,34
Boom Shacka Lacka,499,0.738,0.717,0.0275,0.136,159.0,41
It Comes And Goes,1172,0.661,0.433,0.0343,0.0731,190.0,24
One Love,192,0.661,0.591,0.00232,0.139,71.0,0
"Take Me Home, Country Roads",1213,0.711,0.433,0.00426,0.12,135.0,54
Crying Over You,659,0.786,0.487,0.0,0.124,190.0,38
Long Story,1000,0.746,0.576,0.00698,0.326,49.0,24
First Time for a Long Time,320,0.893,0.442,0.0,0.117,121.0,31
Reggae Night,577,0.893,0.544,0.000794,0.0485,95.0,37
Just Like A River,1103,0.825,0.228,0.00258,0.0977,38.0,25
One Woman,716,0.755,0.391,0.0876,0.139,49.0,33
I Love You Madly,218,0.629,0.525,1.7e-06,0.103,11.0,32
Bonanza Ska,233,0.769,0.807,0.649,0.344,0.0,39
True To Myself,1301,0.881,0.553,0.0,0.0639,71.0,43
To Be Young Gifted and Black,189,0.642,0.521,1.74e-05,0.275,190.0,41
Please Stop Your Lying,391,0.751,0.29,0.000103,0.138,190.0,34
Africa Is Paradise,279,0.633,0.313,0.0,0.205,0.0,37
Things You Say You Love,1161,0.796,0.414,0.402,0.0631,38.0,23
Botheration - Reggae Version,620,0.79,0.529,0.0177,0.145,163.0,33
Blackbird Singing,1175,0.786,0.6,2.61e-05,0.0612,159.0,47
Sun Moon and Star,1171,0.883,0.567,0.000129,0.138,114.0,39
Everything I Own,659,0.634,0.472,0.0,0.143,190.0,45
Winey Winey,1163,0.707,0.279,0.00111,0.0992,80.0,25
Leggo Skanga,1001,0.829,0.633,0.0164,0.0861,0.0,34
Let Your Yeah Be Yeah,1177,0.644,0.537,2.62e-05,0.174,145.0,38
OK Fred,391,0.714,0.67,0.0021,0.277,190.0,42
It Must Be True Love,1213,0.873,0.346,0.0044,0.308,135.0,0
Pirate,1153,0.846,0.516,0.00209,0.0724,207.0,36
Save A Bread,621,0.877,0.4,1.21e-05,0.133,56.0,26
Cock Mouth Kill Cock,620,0.909,0.454,0.000802,0.0998,163.0,38
You Don't Care (aka You'll Want Me Back),1133,0.768,0.446,1.62e-05,0.114,38.0,24
Watch This Sound (For What It's Worth),1187,0.781,0.481,0.0,0.181,38.0,24
Don't Cry (Original),461,0.437,0.572,0.00243,0.116,190.0,0
Still Loving You,1038,0.268,0.588,0.00204,0.156,307.0,0
Wasting Love,516,0.312,0.576,8.02e-06,0.0949,276.0,0
Hold on to Memories,333,0.547,0.637,0.0,0.0702,49.0,54
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",38,0.393,0.722,0.0,0.165,282.0,0
We Are The Others (New Ballad Version),317,0.509,0.571,0.0,0.106,261.0,0
To Be With You - 2010 Remastered Version,822,0.688,0.375,0.0,0.133,80.0,66
Beth,628,0.387,0.238,0.000715,0.194,283.0,31
The Sound of Silence,333,0.322,0.28,1.1e-06,0.102,49.0,70
Love of a Lifetime,406,0.472,0.48,0.00275,0.0914,135.0,61
You're All I Need,1269,0.506,0.539,0.0,0.185,135.0,60
Lazarus,928,0.354,0.581,0.655,0.177,63.0,0
Somewhere,1279,0.229,0.558,4.29e-05,0.0772,157.0,0
Song for Jolee,640,0.427,0.37,0.0,0.126,309.0,33
When Love And Hate Collide,316,0.489,0.554,0.0,0.212,222.0,0
Always,194,0.428,0.662,1.84e-06,0.215,138.0,0
So Far Away,132,0.286,0.703,7.39e-05,0.142,42.0,65
Burn With Me,67,0.454,0.881,0.0,0.127,101.0,0
Zombie,146,0.448,0.826,0.0,0.117,77.0,68
"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)",1074,0.396,0.781,0.0,0.185,48.0,56
Just Take My Heart - 2010 Remastered Version,822,0.508,0.362,0.0,0.0996,80.0,46
Heaven,1263,0.461,0.488,0.0,0.128,245.0,61
Bed Of Roses,194,0.31,0.601,0.0,0.215,138.0,0
Memories,1279,0.432,0.682,2.28e-06,0.187,157.0,0
A Reason to Fight,333,0.591,0.571,0.0,0.13,49.0,55
Tallulah,1088,0.508,0.613,1.1e-05,0.155,367.0,52
More Than Words,396,0.626,0.134,0.0,0.113,247.0,74
Land of the Miracle,368,0.474,0.558,0.0,0.374,401.0,0
Have You Ever Needed Someone So Bad,316,0.497,0.721,1.04e-05,0.0482,222.0,0
Every Rose Has Its Thorn,924,0.549,0.571,5.49e-06,0.362,245.0,36
I'll Be There For You,194,0.437,0.727,0.0,0.103,138.0,51
Scene Five: Through Her Eyes,350,0.593,0.324,3.3e-06,0.498,79.0,47
Seize the Day,132,0.393,0.802,0.0,0.193,42.0,61
Anthem,640,0.272,0.381,0.00936,0.124,309.0,0
Farewell,131,0.457,0.645,0.0,0.185,388.0,0
Every Time I Look At You,628,0.521,0.323,0.0,0.0613,283.0,23
Under Your Scars,450,0.265,0.773,4.05e-06,0.118,169.0,0
Canvas of Life,388,0.294,0.449,0.0,0.127,223.0,0
Where the Wild Wolves Have Gone,930,0.442,0.689,0.00106,0.108,285.0,42
I'll Cry For You,393,0.541,0.742,0.0,0.124,256.0,48
The Magic of the Wizard's Dream (English Version),973,0.417,0.511,0.000369,0.0984,299.0,44
Can't Stop Lovin' You,1240,0.609,0.912,3.1e-06,0.159,336.0,52
Wither,350,0.546,0.738,1.34e-06,0.12,79.0,42
Follow Your Heart,1038,0.353,0.656,0.000161,0.139,307.0,54
Forever,628,0.428,0.682,1.33e-05,0.0544,283.0,32
Better Off This Way,146,0.491,0.754,0.0,0.112,77.0,45
Brothers - Remastered,1108,0.446,0.838,0.0,0.269,0.0,0
Tides of Time,388,0.199,0.413,0.00101,0.138,223.0,0
Replica,1088,0.212,0.81,0.0,0.233,367.0,0
Long Gone By,400,0.455,0.547,6.88e-06,0.129,254.0,37
Always All Be,477,0.502,0.43,0.0,0.101,363.0,0
Tomorrow,393,0.527,0.306,0.0,0.322,256.0,48
Hollow Years,350,0.517,0.559,2.09e-06,0.308,79.0,43
Divine,322,0.619,0.144,0.0486,0.179,28.0,29
Wander,640,0.4,0.58,0.0,0.131,309.0,36
Father Time,976,0.275,0.631,0.000195,0.209,135.0,0
Forever and One (Neverland),488,0.176,0.726,3.01e-06,0.148,517.0,54
Glory to the brave,477,0.469,0.65,0.00111,0.231,363.0,0
Never Say Goodbye,194,0.326,0.797,0.0,0.081,138.0,65
Rivers,388,0.468,0.301,0.00101,0.163,223.0,0
Believe,1036,0.272,0.508,0.000894,0.0855,329.0,41
The Silent Man,350,0.611,0.278,5.04e-06,0.0943,79.0,39
Blind Faith,1263,0.441,0.616,0.0,0.145,245.0,44
When the Children Cry,1269,0.493,0.242,0.0,0.071,135.0,61
Patience,461,0.457,0.266,0.000261,0.124,190.0,64
I Remember You,1076,0.477,0.704,7.25e-05,0.194,299.0,0
St. Marie,1102,0.537,0.415,0.0,0.386,162.0,45
Scarborough Fair,700,0.364,0.82,0.006,0.0788,313.0,29
Scarlet Rose,368,0.439,0.454,8.57e-05,0.301,401.0,45
Another Day,350,0.454,0.614,1.16e-05,0.0936,79.0,54
Miles Away,1278,0.363,0.528,0.0,0.334,247.0,54
Angelus,1107,0.445,0.737,0.0,0.353,38.0,0
See Me in Shadow,317,0.476,0.523,0.000925,0.14,261.0,36
To Be Alive,316,0.437,0.624,0.0,0.159,222.0,0
Last Drop Falls,1088,0.444,0.645,0.0,0.111,367.0,48
Our Loved Ones,1256,0.442,0.793,0.000305,0.227,46.0,42
Wash Away the Poison,368,0.429,0.725,0.0,0.115,401.0,37
All on the Line (Acoustic Version),36,0.534,0.472,0.0,0.146,26.0,40
Losing You,349,0.348,0.576,0.000167,0.12,309.0,39
Time for Deliverance,432,0.218,0.71,3.52e-05,0.106,403.0,32
We Are One,628,0.507,0.873,1.27e-06,0.268,283.0,21
Darkness,333,0.311,0.283,0.0483,0.12,49.0,41
Set Me Free,132,0.448,0.661,6.42e-05,0.0499,42.0,52
Faraway,107,0.0764,0.443,0.829,0.106,94.0,35
Life Eternal,443,0.443,0.612,1e-06,0.103,106.0,52
Solitary Ground,388,0.481,0.394,0.0122,0.163,223.0,0
Wait,1269,0.204,0.794,0.0,0.148,135.0,45
Love Song,1140,0.354,0.318,0.0389,0.113,312.0,0
A Little Bit Off,407,0.664,0.828,0.0,0.294,46.0,71
Rebirth,20,0.292,0.861,0.00194,0.14,277.0,51
Givin' Yourself Away,961,0.594,0.752,0.00161,0.0578,299.0,51
Don't Know What You Got (Till It's Gone),266,0.36,0.527,0.000792,0.0536,299.0,0
Only My Heart Talkin',56,0.24,0.91,0.0,0.272,380.0,44
Broken Home,1269,0.546,0.659,1.32e-05,0.0872,135.0,37
Even Angels Cry,344,0.563,0.414,0.0,0.155,223.0,38
The Fallen One,477,0.418,0.417,6.23e-05,0.352,363.0,0
Heartbreak Station,266,0.597,0.51,0.0539,0.0554,299.0,54
Master of the Wind,763,0.336,0.121,0.0,0.0672,310.0,46
In Memory,937,0.202,0.64,0.003,0.238,412.0,40
Welcome To The Circus,407,0.489,0.987,0.0,0.788,46.0,65
Sunset over the Empire,108,0.39,0.942,0.102,0.14,195.0,59
Into the Black,720,0.418,0.929,0.00134,0.245,120.0,52
Gods of War,347,0.444,0.982,0.0,0.35,213.0,0
CHØKE ØN THE ASHES ØF YØUR HATE,744,0.511,0.992,0.00104,0.39,278.0,58
Midnight Sun,676,0.368,0.989,0.391,0.976,243.0,54
I'll Be Your Hero - Single Edit,973,0.461,0.971,1.14e-06,0.3,299.0,43
Far from the Sanctuary,797,0.461,0.94,0.0223,0.0992,132.0,36
Venerate Me,477,0.3,0.932,0.00481,0.273,363.0,51
Chains of Fury,760,0.459,0.845,0.489,0.498,129.0,49
Guiding Light,1246,0.404,0.98,0.0,0.125,208.0,29
Slaughterhouse (feat. Bryan Garris Of Knocked Loose),820,0.304,0.987,0.000162,0.371,26.0,65
Separate Ways,394,0.401,0.979,0.0,0.153,16.0,53
Metal Is For Everyone,419,0.35,0.967,0.117,0.258,288.0,0
Cloud Connected,797,0.281,0.944,7.09e-06,0.47,132.0,33
Terial the Hawk,973,0.465,0.878,4.33e-06,0.141,299.0,33
Starlight,131,0.545,0.93,5.18e-06,0.235,388.0,42
Spirit of Daedalus,419,0.41,0.921,0.0814,0.0345,288.0,28
Saturday Night (Hallelujah),363,0.596,0.951,0.0,0.0353,6.0,41
We Will Rise,1226,0.449,0.961,0.0163,0.456,92.0,0
The Tale of the Three Hawks,1249,0.465,0.954,1.24e-06,0.23,43.0,28
Bring It On,795,0.534,0.95,5.35e-05,0.0599,141.0,0
PvP,67,0.436,0.963,0.0,0.138,101.0,58
Higher,865,0.522,0.99,0.000292,0.289,28.0,0
Magic Signs,973,0.426,0.584,0.0,0.378,299.0,33
The Fairies Dance,1226,0.548,0.887,0.0,0.432,92.0,0
Heart Demolition,346,0.367,0.982,1.1e-05,0.0435,209.0,30
Out of My Life,288,0.447,0.952,3.31e-06,0.449,100.0,0
Viva La Victoria,363,0.544,0.944,1.48e-06,0.103,6.0,51
Sweet True Lies,155,0.466,0.912,0.00294,0.284,203.0,0
Nornirs´s Call,471,0.429,0.958,0.032,0.376,17.0,27
The Day The World Stood Still,1178,0.333,0.979,0.000296,0.358,7.0,37
Come This Way,1226,0.561,0.892,0.000705,0.0965,92.0,33
Inertia,1037,0.474,0.907,2.23e-05,0.182,0.0,0
Heartless Madness,359,0.446,0.904,0.000123,0.191,187.0,48
Sainted by the Storm,930,0.499,0.961,3.71e-06,0.259,285.0,56
Maximus,1262,0.308,0.953,0.00154,0.295,92.0,37
Victorious,940,0.367,0.929,0.0,0.103,20.0,34
Midnight Bells,865,0.271,0.973,1.47e-06,0.539,28.0,23
Heart of the Android,885,0.503,0.982,0.000764,0.0685,288.0,40
Ghost of Marley,757,0.484,0.966,0.0455,0.048,136.0,0
Breaking the Rules of Heavy Metal,1136,0.333,0.948,0.0,0.0745,282.0,0
Warriors,1262,0.364,0.972,9.61e-05,0.368,92.0,33
Roses on Your Grave,363,0.495,0.965,3.35e-06,0.305,6.0,49
Hardcore,155,0.462,0.935,0.0415,0.111,203.0,57
Rise Of The Dragon Empire,186,0.416,0.9,4.46e-05,0.194,283.0,9
Son of Vengeance,973,0.334,0.923,0.0,0.274,299.0,40
Raise Your Horns,1239,0.321,0.94,0.00473,0.392,330.0,26
Dear Anxiety,329,0.416,0.984,0.0,0.367,0.0,44
Beast of Gévaudan,930,0.463,0.962,0.0,0.239,285.0,45
We Are the Fire,1262,0.493,0.975,0.76,0.208,92.0,35
Not the End of the Road,672,0.396,0.924,0.0,0.108,92.0,33
Baptized in Blood,712,0.482,0.993,0.0138,0.147,129.0,25
Gloryhammer,449,0.517,0.916,0.00191,0.306,225.0,0
Presence of Mind,359,0.505,0.934,5.71e-06,0.217,187.0,45
Battle of Life,267,0.316,0.954,0.0119,0.0404,178.0,41
Hel,471,0.29,0.955,0.00104,0.131,17.0,26
Fight,1262,0.458,0.96,0.00112,0.114,92.0,36
Our Time Has Come,517,0.436,0.973,0.0775,0.3,379.0,25
One Night in Tokyo,155,0.469,0.977,0.691,0.045,203.0,0
Live Forever,796,0.342,0.98,0.000407,0.151,149.0,29
(We make) Sweden Rock,477,0.497,0.958,4.53e-05,0.27,363.0,0
Bound to You,720,0.479,0.984,0.0461,0.0946,120.0,31
A New Land,949,0.343,0.967,0.00302,0.0556,386.0,33
In Black and White - New Version 2021,639,0.399,0.941,0.000171,0.0982,169.0,30
Stand Up And Fight,517,0.272,0.988,0.0048,0.484,379.0,4
Creatures Of The Dark Realm,186,0.394,0.924,7.11e-05,0.319,283.0,9
The Last Battle,1262,0.398,0.961,0.000506,0.306,92.0,0
Punish You,112,0.434,0.951,0.0281,0.143,117.0,34
The Raven Child (feat. Hansi Kürsch & Jorn Lande),131,0.257,0.915,0.0,0.0742,388.0,0
Grave Troopers,10,0.417,0.981,0.492,0.644,28.0,1
Unstoppable,332,0.421,0.955,1.08e-05,0.182,2.0,0
Bloodheads United,186,0.366,0.94,0.0,0.913,283.0,28
Odin's Sons (feat. The Queen of the Damned),1262,0.486,0.968,0.000587,0.128,92.0,32
Thunder Rising,204,0.427,0.899,0.0,0.153,100.0,37
Where Angels Fear to Fly,152,0.491,0.933,0.000134,0.221,203.0,13
One with the Gun,873,0.4,0.947,0.809,0.216,10.0,26
Slayer of Kings,186,0.397,0.929,0.000541,0.315,283.0,34
From Hell with Love,155,0.502,0.9,0.00212,0.161,203.0,57
The Final Sacrifice,1092,0.516,0.858,0.00353,0.12,269.0,36
For All,380,0.444,0.95,0.000266,0.252,105.0,36
Forever Lost,1070,0.513,0.959,4.91e-05,0.384,0.0,0
Eye of the Storm,152,0.433,0.935,2.32e-05,0.146,203.0,10
The Wicked Rule The Night,131,0.29,0.909,0.0024,0.114,388.0,53
Sneeztem of a Yawn,832,0.406,0.894,0.594,0.164,99.0,30
Breaking the Habit,1075,0.524,0.945,3.14e-06,0.165,24.0,32
Absinthe Children,380,0.469,0.93,0.00455,0.38,105.0,33
Moonlight Rendezvous,155,0.425,0.958,0.00107,0.0394,203.0,0
Straight to the Heart,152,0.446,0.965,0.000136,0.241,203.0,0
Demons Are A Girl's Best Friend,930,0.468,0.933,3.36e-06,0.119,285.0,33
Hammer Of Dawn,477,0.544,0.888,0.000237,0.38,363.0,31
Deliver Us From Evil,184,0.358,0.94,0.286,0.0845,296.0,47
Together We Rise,1277,0.581,0.968,0.666,0.0599,201.0,50
Embrace The Night,420,0.515,0.954,4.45e-06,0.293,151.0,10
The Inevitable End,760,0.525,0.895,0.372,0.0922,129.0,35
Blast in the Past,217,0.423,0.985,0.0118,0.327,294.0,21
Oblivion,1104,0.425,0.923,5.13e-05,0.144,363.0,32
Here Comes The Sun - Remastered,1146,0.557,0.54,0.00248,0.179,218.0,0
My Sweet Lord,440,0.538,0.704,0.0,0.0867,427.0,0
Where You Lead,240,0.784,0.459,1.28e-06,0.0684,383.0,0
Your Song,378,0.551,0.27,7.04e-06,0.0966,103.0,53
Blowin' in the Wind,908,0.381,0.0848,0.0,0.112,345.0,56
Forever Young - From NBC's Parenthood,974,0.384,0.366,9.17e-05,0.101,129.0,56
Blackbird - Remastered 2009,1146,0.686,0.127,1.41e-05,0.0573,218.0,73
Wildflowers,1209,0.537,0.315,2.29e-05,0.206,629.0,68
Closer to Fine,514,0.54,0.677,0.0,0.224,329.0,60
Father And Son,1290,0.495,0.326,8.85e-05,0.0996,481.0,73
She's Always a Woman,177,0.292,0.324,0.000473,0.12,434.0,72
Imagine - Remastered 2010,588,0.547,0.257,0.183,0.0935,390.0,77
